covariate,Mean_Beta,SD_Beta,Sign_Consistency,%_p<0.05,Mean_Time_Ratio
interest_rate,-0.026187535897448173,0.00033092015017935697,5/5 (-),100.0,0.974152383935776
fico_stage,0.06348911597387386,0.00046059687039472154,5/5 (+),100.0,1.0655478882872984
term_months_binary,0.5110166850799744,0.0032112509749163023,5/5 (+),100.0,1.666985132612265
Log_loan_amount,-0.08376905287088295,0.00447050032429313,5/5 (-),100.0,0.9196436206256857
PTI_rescaling,-0.009017992730956135,0.0021659070362777164,5/5 (-),80.0,0.9910225474103996
Log_annual_income,-0.017541902240384488,0.0065713979048455514,5/5 (-),60.0,0.9826110611975372
IPE_rescaling,2.1914329384980134e-05,3.648520094136445e-05,4/5 (+),0.0,1.0000219145695057
emp_length_numeric,0.0006257619510711105,0.00033208183783894885,5/5 (+),0.0,1.0006259577809262
RTG,0.0010107565760484546,0.0004990963064615595,5/5 (+),0.0,1.001011267562623
grade_numeric,0.0017525498451412824,0.0013457033375141238,5/5 (+),0.0,1.0017540864581536
home_ownership_RENT,-0.005402437123282554,0.0032244004806304496,4/5 (-),0.0,0.9946121297960587
loan_purpose_home_improvement,-0.002462728697438397,0.004192246934169048,2/5 (-),0.0,0.9975403013309905
loan_purpose_other,0.0069136071802202185,0.004730492499456446,5/5 (+),0.0,1.0069375613337248
loan_purpose_major_purchase,-0.004826998143975283,0.004996337966557649,4/5 (-),0.0,0.9951846330893929
home_ownership_OWN,0.0011091873661388033,0.005264861430581459,3/5 (+),0.0,1.0011098027419467
loan_purpose_debt_consolidation,-0.007431417200662499,0.005307240661905144,5/5 (-),0.0,0.9925961275058399
